1 0.0400000000
2 0.1393663673
3 0.2300035918
4 0.2399502041
5 0.1786817959
6 0.1016608980
7 0.0461655510
8 0.0171345306
9 0.0052581224
10 0.0013954286
11 0.0003176327
12 0.0000568163
13 0.0000084082
14 0.0000006531
15 0.0000000000
16 0.0000000000
17 0.0000000000
18 0.0000000000
19 0.0000000000
20 0.0000000000
21 0.0000000000
22 0.0000000000
23 0.0000000000
24 0.0000000000
25 0.0000000000
26 0.0000000000
27 0.0000000000
28 0.0000000000
29 0.0000000000
30 0.0000000000
31 0.0000000000
32 0.0000000000
33 0.0000000000
34 0.0000000000
35 0.0000000000
36 0.0000000000
37 0.0000000000
38 0.0000000000
39 0.0000000000
40 0.0000000000
41 0.0000000000
42 0.0000000000
43 0.0000000000
44 0.0000000000
45 0.0000000000
46 0.0000000000
47 0.0000000000
48 0.0000000000
49 0.0000000000
